,ETHNICITY,TERRITORY,ACADEMIC_INTEREST_1,ACADEMIC_INTEREST_2,Enroll,TOTAL_CONTACTS,SELF_INIT_CNTCTS,SOLICITED_CNTCTS,CAMPUS_VISIT,CONTACT_CODE1,IRSCHOOL,satscore,sex,mailq,telecq,premiere,interest,stuemail,init_span,int1rat,int2rat,hscrat,avg_income,distance,Instate
0,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,1090.0,1.0,1,,0,0,0,48,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
1,N,0,Unknown,Unknown,0,1,1,0,0,SAT,447290,1090.0,1.0,1,,0,0,0,31,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
2,C,0,Unknown,Unknown,0,1,0,1,0,C01,447290,1090.0,1.0,1,,0,0,1,20,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
3,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,1090.0,0.0,1,,0,0,1,18,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
4,B,0,Unknown,Unknown,0,2,2,0,0,TFL,447290,1090.0,1.0,1,,0,0,0,18,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
5,N,0,Unknown,Unknown,0,2,1,1,0,PCR,447290,1130.0,0.0,1,,0,0,1,18,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
6,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,1170.0,0.0,1,,0,0,1,16,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
7,N,0,Unknown,Unknown,0,2,2,0,0,SAT,447290,1210.0,0.0,1,,0,0,0,15,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
8,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,1170.0,1.0,1,,0,0,1,14,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
9,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,1130.0,0.0,1,,0,0,1,14,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
10,N,0,Unknown,Unknown,0,2,2,0,0,EML,447290,1090.0,1.0,1,,0,0,1,14,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
11,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,1050.0,0.0,1,,0,0,1,13,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
12,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,1010.0,1.0,1,,0,0,0,13,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
13,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,970.0,1.0,1,,0,0,0,12,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
14,C,0,Unknown,Unknown,0,1,1,0,0,TFL,447290,930.0,1.0,1,,0,0,0,12,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
15,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,890.0,1.0,1,,0,0,1,12,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
16,H,0,Unknown,Unknown,0,1,1,0,0,SAT,447290,850.0,1.0,1,,0,0,0,10,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
