"ETHNICITY","TERRITORY","ACADEMIC_INTEREST_1","Enroll","TOTAL_CONTACTS","SELF_INIT_CNTCTS","SOLICITED_CNTCTS","CAMPUS_VISIT","IRSCHOOL","satscore","sex","mailq","premiere","init_span","int1rat","int2rat","hscrat","avg_income","distance","Instate"
"C",0,"Unknown","0",1,1,0,0,"447290",1090,"1",1,"0",48,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"N",0,"Unknown","0",1,1,0,0,"447290",1090,"1",1,"0",31,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,0,1,0,"447290",1090,"1",1,"0",20,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",1090,"0",1,"0",18,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"B",0,"Unknown","0",2,2,0,0,"447290",1090,"1",1,"0",18,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"N",0,"Unknown","0",2,1,1,0,"447290",1130,"0",1,"0",18,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",1170,"0",1,"0",16,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"N",0,"Unknown","0",2,2,0,0,"447290",1210,"0",1,"0",15,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",1170,"1",1,"0",14,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",1130,"0",1,"0",14,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"N",0,"Unknown","0",2,2,0,0,"447290",1090,"1",1,"0",14,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",1050,"0",1,"0",13,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",1010,"1",1,"0",13,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",970,"1",1,"0",12,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",930,"1",1,"0",12,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",890,"1",1,"0",12,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"H",0,"Unknown","0",1,1,0,0,"447290",850,"1",1,"0",10,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",861,"1",1,"0",9,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",873,"1",1,"0",9,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",884,"1",1,"0",8,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",895,"0",1,"0",6,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"447290",907,"1",1,"0",5,0.017182745659566852,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"BCH","0",1,1,0,0,"447290",918,"1",1,"0",13,0,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"B",0,"BUAD","0",1,0,1,0,"447290",930,"1",1,"0",29,0.009195402298850575,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"CSI","0",1,1,0,0,"447290",941,"0",1,"0",12,0.002012072434607646,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"EEGR","0",1,1,0,0,"447290",952,"0",1,"0",13,0,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"A",0,"EGR","0",4,4,0,0,"447290",964,"0",1,"0",13,0.0072992700729927005,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"FIN","0",1,1,0,0,"447290",975,"0",1,"0",14,0.06976744186046512,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"FM","0",1,1,0,0,"447290",986,"1",1,"0",56,0.05555555555555555,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"MGT","0",1,1,0,0,"447290",998,"0",1,"0",6,0.0273972602739726,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"N",0,"PSC","0",1,0,1,0,"447290",1009,"1",1,"0",30,0.019704433497536946,0.020380002122916886,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"MGT","0",1,1,0,0,"447290",1020,"0",1,"0",9,0.0273972602739726,0.035211267605633804,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"CSI","0",1,1,0,0,"447290",1032,"1",1,"0",8,0.002012072434607646,0.009876543209876543,0.0376516305204012,53494.74710029566,318.0161398664745,0
"B",0,"BUAD","0",1,0,1,0,"447290",1043,"0",1,"0",31,0.009195402298850575,0.005263157894736842,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"ART","0",1,0,1,0,"447290",1055,"0",1,"0",31,0.0057361376673040155,0.020588235294117647,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"CST","0",1,1,0,0,"447290",1066,"0",1,"0",14,0.013157894736842105,0,0.0376516305204012,53494.74710029566,318.0161398664745,0
"C",0,"BUAD","0",1,1,0,0,"447290",1077,"0",1,"0",10,0.009195402298850575,0,0.0376516305204012,53494.74710029566,318.0161398664745,0
"H",8,"MED","0",1,0,1,0,"100707",1089,"1",1,"0",31,0.01287001287001287,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",2,2,0,0,"101348",1100,"1",1,"0",10,0.017182745659566852,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"C",8,"Unknown","0",1,0,0,0,"101521",1113,"1",3,"0",22,0.017182745659566852,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"C",8,"Unknown","0",2,1,1,0,"141415",1127,"0",1,"0",19,0.017182745659566852,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,0,1,0,"153780",1140,"1",1,"0",14,0.017182745659566852,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,1,0,0,"290134",1153,"1",1,"0",11,0.017182745659566852,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",2,1,1,0,"320548",1167,"1",1,"0",18,0.017182745659566852,0.020380002122916886,0.058823529411764705,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,0,1,0,"363340",1180,"1",1,"0",10,0.017182745659566852,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,0,0,0,"373610",1193,"1",4,"0",10,0.017182745659566852,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"C",0,"ARCH","0",1,0,1,0,"431830",1207,"1",1,"0",30,0.008955223880597015,0,0,53494.74710029566,318.0161398664745,0
"C",0,"NUR","0",2,1,0,0,"440325",1220,"0",3,"0",11,0.022587268993839837,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"H",0,"BUAD","0",3,0,3,0,"440557",1233,"0",1,"0",30,0.009195402298850575,0.020380002122916886,0.054878048780487805,53494.74710029566,318.0161398664745,0
"C",0,"MED","0",1,1,0,0,"441045",1247,"1",1,"0",45,0.01287001287001287,0.020380002122916886,0.08695652173913043,53494.74710029566,318.0161398664745,0
"A",8,"Unknown","0",2,2,0,0,"441172",1260,"1",1,"0",6,0.017182745659566852,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,0,0,0,"441285",1273,"0",3,"0",22,0.017182745659566852,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,0,1,0,"441335",1285,"1",1,"0",14,0.017182745659566852,0.020380002122916886,0.05714285714285714,53494.74710029566,318.0161398664745,0
"B",0,"BUS","0",1,0,0,0,"441337",1298,"1",1,"0",21,0.015772870662460567,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",2,2,0,0,"441471",1310,"1",1,"0",10,0.017182745659566852,0.020380002122916886,0.12313432835820895,53494.74710029566,318.0161398664745,0
"A",8,"Unknown","0",4,4,0,0,"441505",1350,"1",1,"0",15,0.017182745659566852,0.020380002122916886,0.041666666666666664,53494.74710029566,318.0161398664745,0
"C",0,"CSI","0",1,0,0,0,"441865",1324,"1",3,"0",55,0.002012072434607646,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"H",0,"Unknown","0",1,0,1,0,"441910",1299,"1",1,"0",10,0.017182745659566852,0.020380002122916886,0.015625,53494.74710029566,318.0161398664745,0
"H",0,"Unknown","0",1,0,0,0,"442224",1273,"1",4,"0",21,0.017182745659566852,0.020380002122916886,0.006211180124223602,53494.74710029566,318.0161398664745,0
"H",0,"PPHR","0",2,1,0,0,"442224",1247,"1",5,"0",21,0,0.020380002122916886,0.006211180124223602,53494.74710029566,318.0161398664745,0
"N",0,"BIO","0",3,2,0,0,"442516",1221,"1",4,"0",21,0.019969278033794162,0.020380002122916886,0.009900990099009901,53494.74710029566,318.0161398664745,0
"C",0,"PSY","0",1,0,0,0,"442690",1196,"1",5,"0",10,0.02918781725888325,0.020380002122916886,0.05660377358490566,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","1",8,7,0,0,"442770",1170,"0",5,"1",28,0.017182745659566852,0.020380002122916886,0.07857142857142857,53494.74710029566,318.0161398664745,0
"B",0,"PSY","0",1,0,1,0,"443215",1177,"1",1,"0",31,0.02918781725888325,0.03278688524590164,0,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,0,1,0,"443358",1180,"1",1,"0",14,0.017182745659566852,0.020380002122916886,0.11038961038961038,53494.74710029566,318.0161398664745,0
"C",0,"MUS","0",1,0,0,0,"443377",1183,"0",4,"0",35,0.0058823529411764705,0.020588235294117647,0,53494.74710029566,318.0161398664745,0
"H",0,"Unknown","0",2,1,0,0,"443451",1187,"1",3,"0",21,0.017182745659566852,0.020380002122916886,0.01694915254237288,53494.74710029566,318.0161398664745,0
"A",8,"Unknown","1",1,1,0,0,"443459",1190,"1",1,"0",9,0.017182745659566852,0.020380002122916886,0.1111111111111111,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,0,0,0,"443522",1140,"1",3,"0",11,0.017182745659566852,0.020380002122916886,0.032679738562091505,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,0,1,0,"443560",1090,"0",1,"0",14,0.017182745659566852,0.020380002122916886,0.058823529411764705,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,0,1,0,"444300",1040,"1",1,"0",14,0.017182745659566852,0.020380002122916886,0.1518987341772152,53494.74710029566,318.0161398664745,0
"H",0,"BUS","0",1,0,0,0,"444596",990,"0",4,"0",21,0.015772870662460567,0.004901960784313725,0.045454545454545456,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,0,0,0,"445325",940,"0",5,"0",19,0.017182745659566852,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"H",0,"ACC","0",1,0,1,0,"445540",890,"1",1,"0",31,0.01818181818181818,0.05925925925925926,0,53494.74710029566,318.0161398664745,0
"B",0,"THEA","0",3,2,1,0,"446154",840,"1",1,"0",31,0.00904977375565611,0.020380002122916886,0.014084507042253521,53494.74710029566,318.0161398664745,0
"O",0,"Unknown","0",3,1,2,0,"446313",790,"1",1,"0",17,0.017182745659566852,0.020380002122916886,0.025,53494.74710029566,318.0161398664745,0
"H",0,"Unknown","0",1,0,1,0,"446395",740,"1",1,"0",29,0.017182745659566852,0.020380002122916886,0,53494.74710029566,318.0161398664745,0
"C",0,"Unknown","0",1,0,0,0,"446530",690,"0",5,"0",34,0.017182745659566852,0.020380002122916886,0.010869565217391304,53494.74710029566,318.0161398664745,0
"N",0,"Unknown","0",3,2,1,0,"446930",640,"1",1,"0",14,0.017182745659566852,0.020380002122916886,0.030303030303030304,53494.74710029566,318.0161398664745,0
"C",8,"NUR","0",1,0,0,0,"447282",590,"1",4,"0",12,0.022587268993839837,0.021413276231263382,0.12,53494.74710029566,318.0161398664745,0
